DATE,COMNAM,NCUSIP,PERMNO
20020701,ADVANCED MEDICAL OPTICS INC,00763M10,89426
19961125,AERIAL COMMUNICATIONS INC,765510,83354
20070510,A E C O M TECHNOLOGY CORP,00766T10,91975
20150107,A E C O M,00766T10,91975
20101022,AEGERION PHARMACEUTICALS INC,7.67E+12,12347
19850510,AERO SYSTEMS ENGINEERING INC,769210,85164
20111026,AEGION CORP,00770F10,44274
20101119,AEROFLEX HOLDING CORP,776710,12364
19941111,AEROFLEX INC,776810,62500
20001110,AEROGEN INC,777910,88785
20031103,AEROGEN INC,777930,88785
19970418,AEROQUIP VICKERS INC,786910,18147
19721214,ADVANCED MICRO DEVICES INC,790310,61241
20010111,ADVANCE P C S,00790K10,84046
20161006,ADVANCED DISPOSAL SERVICES INC,00790X10,16435
19800428,ADVANTAGE COS INC,791110,11042
19870501,ADVANTAGE COS INC,791120,11042
19830819,ADVANCED N M R SYSTEMS INC,792110,11122
19831221,ADVANCED TELECOMMUNICATIONS CORP,792310,11149
19850628,AEGON N V,792410,85172
19880128,ADVANTA CORP,794210,92284
19920506,ADVANTA CORP,794220,77576
19900411,ADVANCED LOGIC RESEARCH INC,794810,76271
19910626,ADVANCED PROMOTION TECHS INC,795210,76715
19911106,ADVANCED INTERVENTIONAL SYS INC,795410,77083
19951117,ADVANCED ENERGY INDUSTRIES INC,797310,82547
19951116,ADVENT SOFTWARE INC,797410,82546
19721214,AEROSONIC CORP DEL,801530,11157
19991021,AETHER SYSTEMS INC,00808V10,87298
19680924,AETNA LIFE & CASUALTY CO,814010,46850
19930810,AETRIUM INC,00817R10,79472
20131011,AETRIUM INC,00817R20,79472
20001214,AETNA INC NEW,00817Y10,88845
19721214,AFFILIATED BANKSHARES COLO INC,818210,11173
19951019,AFFILIATED COMMUNITY BANCORP INC,818810,79998
19940927,AFFILIATED COMPUTER SVCS INC,819010,80913
19970205,AFFILIATED COMPUTER SERVICES INC,819010,80913
19971121,AFFILIATED MANAGERS GROUP INC,825210,85593
19890608,AFFILIATED PUBLICATIONS INC NEW,826210,75618
19941130,AFFINITY TELEPRODUCTIONS INC,00826P10,81070
19960724,AFFINITY ENTERTAINMENT INC,00826P10,81070
19960606,AFFYMETRIX INC,00826T10,83616
19721214,AFTER 6 INC,831510,57613
19950424,AG CHEM EQUIPMENT INC,836310,81537
20091021,A G A MEDICAL HOLDINGS INC,836810,93074
19991208,AGENCY COM LTD,844710,87473
19830608,AGENCY RENT A CAR INC,845010,11181
20010328,AGERE SYSTEMS INC,00845V10,88917
20020603,AGERE SYSTEMS INC,00845V20,89400
20050531,AGERE SYSTEMS INC,00845V30,88917
19991118,AGILENT TECHNOLOGIES INC,00846U10,87432
19990820,AGILE SOFTWARE CORP DEL,00846X10,87153
19870320,AGOURON PHARMACEUTICALS INC,848810,11192
19940415,AGREE REALTY CORP,849210,80412
19950524,AGRIBIOTECH INC NEW,849410,81596
19980401,AGRIBRANDS INTERNATIONAL INC,00849R10,85895
19920214,AGRIDYNE TECHNOLOGIES INC,00853T10,77341
19800602,AGRIPOST INC,854310,11237
19890331,AGRISTAR INC,00854C10,75736
19980108,AGRITOPE INC,00855D10,85672
19721214,AHMANSON H F & CO,867710,56266
19680102,AILEEN INC,887810,39116
19950530,AGRIUM INC,891610,81598
19890810,AIR & WATER TECHNOLOGIES CORP,905810,75793
19721214,AIR EXPRESS INTERNATIONAL CORP,910410,61081
19940513,AIR L A INC,912520,80501
19911122,AIR METHODS CORP,912810,11641
19920407,AIR METHODS CORP,912830,11641
19821105,AIR MIDWEST INC,913510,11341
19680102,AIR PRODUCTS & CHEMICALS INC,915810,28222
19830722,AIR WISCONSIN SERVICES INC,923610,11376
19870723,AIRCOA HOTEL PARTNERS L P,929310,75108
19861219,AIRGAS INC,936310,70308
19960531,AIRNET SYSTEMS INC,941710,83467
19991207,AIRNET COMMUNICATIONS CORP,00941P10,87474
20041209,AIRNET COMMUNICATIONS CORP,00941P40,87474
19990730,AIRONET WIRELESS COMM INC,00943A10,87052
19850529,AIRSHIP INTERNATIONAL LTD,949810,85220
19971118,AIRTRAN HOLDINGS INC,00949P10,80670
19940406,AIRTOUCH COMMUNICATIONS,00949T10,80094
20000720,AIRSPAN NETWORKS INC,00950H10,88419
20070720,AIRVANA INC,00950V10,92192
19950908,AIRWAYS CORP,952510,82245
19891113,AJAY SPORTS INC,970410,76027
19980814,AJAY SPORTS INC,970440,76027
19991029,AKAMAI TECHNOLOGIES INC,00971T10,87299
19880408,AKORN INC,972810,10180
20080107,ALABAMA AIRCRAFT INDUSTRIES INC,1.02E+13,11306
19941122,ALABAMA NATIONAL BANCORP DEL,1031710,81071
19830603,ALAMCO INC,1074210,64848
19891218,ALAMCO INC,1074220,64848
19930319,ALAMO GROUP INC,1131110,78950
20010215,ALAMOSA HOLDINGS INC,1158910,87585
19940204,ALANTEC CORP,1163010,80222
19970505,ALARIS MEDICAL INC,1163710,75477
20030702,ALARIS MEDICAL SYSTEMS INC,1163710,75477
19970416,ALARMGUARD HOLDINGS INC,1164910,79352
19850523,ALASKA AIRGROUP INC,1165910,28804
19691125,ALBA WALDENSIAN INC,1204110,49584
19920401,ALBANK FINANCIAL CORP,1204610,77493
19940311,ALBEMARLE CORP,1265310,80191
20011203,ALBEMARLE FIRST BANK VA,1268410,89264
19680102,ALBERTO CULVER CO,1306810,42083
